feature	importance
d__Eukaryota;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Phyllodocida;g__Phyllodocida;s__Glycinde_armigera	0.0002067330273151191
d__Eukaryota;p__Cercozoa;c__Vampyrellidae;o__Vampyrellidae;f__Vampyrellidae;g__uncultured;s__uncultured_eukaryote	0.00020411803482300994
d__Eukaryota;p__MAST-3;c__MAST-3J;o__MAST-3J;f__MAST-3J;g__MAST-3J;__	0.00020080862142422454
d__Eukaryota;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellida;g__Sabellida;s__Manayunkia_aestuarina	0.00019737488659796136
d__Eukaryota;p__Centrohelida;c__Centrohelida;o__Centrohelida;f__Centrohelida;g__Centrohelida;s__uncultured_eukaryote	0.00019008586534074008
d__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;__;__;__	0.00018988719413878948
d__Eukaryota;p__Rotifera;c__Monogononta;o__Flosculariacea;f__Flosculariacea;g__Flosculariacea;__	0.00018985387242693438
d__Eukaryota;p__Holozoa;c__Choanoflagellida;o__Acanthoecida;f__Stephanoecidae;g__Bicosta;__	0.00018290180363105487
d__Eukaryota;p__Peronosporomycetes;c__Peronosporomycetes;o__Peronosporomycetes;f__Peronosporomycetes;__;__	0.00018153893247891003
d__Eukaryota;p__Prymnesiophyceae;c__Prymnesiophyceae;o__Prymnesiophyceae;f__Prymnesiophyceae;__;__	0.00017478367696738145
d__Eukaryota;p__Holozoa;c__Filasterea;o__Ministeriida;f__Capsasporidae;g__AT4-11;s__uncultured_eukaryote	0.00016871608870012525
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Cryomonadida;f__Ventrifissuridae;g__Ventrifissuridae;__	0.00016681308360334073
d__Eukaryota;p__Prymnesiophyceae;__;__;__;__;__	0.00016615922307435305
d__Eukaryota;p__Cryptomycota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Paramicrosporidium;s__uncultured_marine	0.00016419461784123338
d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae;f__Trebouxiophyceae;g__Trebouxiophyceae;__	0.00016353498289996016
d__Eukaryota;p__Ochrophyta;c__Ochrophyta;o__Ochrophyta;f__Ochrophyta;g__Bolidomonas;s__uncultured_eukaryote	0.00016306423693618571
d__Eukaryota;p__Centrohelida;c__Centrohelida;o__Centrohelida;__;__;__	0.00016105825502047376
d__Eukaryota;p__MAST-12;c__MAST-12B;o__MAST-12B;f__MAST-12B;g__MAST-12B;__	0.00015226982995289587
d__Eukaryota;p__Labyrinthulomycetes;__;__;__;__;__	0.0001512212470323409
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales;g__Duboscquella;__	0.00014575981404226228
d__Eukaryota;p__Holozoa;c__Choanoflagellida;o__Craspedida;f__Salpingoecidae;g__Hartaetosiga;s__eukaryote_clone	0.00014519579250606526
d__Eukaryota;p__Mollusca;c__Bivalvia;o__Ostreoida;f__Ostreoida;g__Ostreoida;s__Crassostrea_virginica	0.00014518920634351603
d__Eukaryota;p__Dinoflagellata;c__Dinoflagellata;o__Noctilucales;f__Noctilucales;g__Noctilucales;s__uncultured_eukaryote	0.00014163289609205233
d__Eukaryota;p__Holozoa;c__Choanoflagellida;o__Acanthoecida;f__Acanthoecidae;g__FV23-1A4;__	0.0001411968847863998
d__Eukaryota;p__Porifera;c__Demospongiae;o__Dictyoceratida;f__Dictyoceratida;g__Dictyoceratida;s__Dysidea_avara	0.00013994091789731931
