Feature ID	Taxon	Consensus
008f497744d62f80a964830fcce1dc8a	d__Eukaryota; p__uncultured; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_eukaryote	1.0
008f6c85fa6e2b3deba35eb9bed95dda	Unassigned	1.0
008ff1a50ed2f1f4cda3adeb70de9b4f	d__Eukaryota; p__Arthropoda; c__Maxillopoda	1.0
009043e5b960d7b8d452485c6e551ccb	Unassigned	1.0
0090f44ca3823118eaa7edd50bd5b733	Unassigned	1.0
0091a85aeebe4f22b3cb0226cacf5d9a	Unassigned	1.0
0092341f779a18d10ee27add75381915	d__Eukaryota; p__Chlorophyta; c__Chlorodendrophyceae; o__Chlorodendrales; f__Chlorodendrales; g__Tetraselmis	0.9
00927e9eb459bdf585f1c4c799ad1ba7	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.6
0092c55ca418a12447425730c46ff94c	d__Eukaryota; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Thraustochytriaceae; g__Labyrinthuloides; s__Thraustochytriidae_sp.	1.0
0093795ceca55ed8207d93732366c6a8	d__Eukaryota; p__Annelida; c__Polychaeta; o__Spionida; f__Spionida; g__Spionida	1.0
00946e44aa4965b3ec27a84f997bdfa2	Unassigned	1.0
0094c95d3fa690a4b58176f3286e457e	Unassigned	1.0
009501c26765c146f522e737f8186e33	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	1.0
0095589aa02b9876bc72ad2d5c311ae0	Unassigned	1.0
0095d12a02c8b0be9f02db0b63dac7a4	Unassigned	1.0
00961b7eabd41024423faa863e7a8b3f	Unassigned	1.0
0096a6b3519d25db3a96926ce00921ef	Unassigned	1.0
0096ddb3843cffa0923ace91e53b4872	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__Polycyclovorans	0.6
00971ef5ae743cf6f9116a5f77726ddc	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	0.667
0097edbd912319fb7a651bc860203fab	Unassigned	1.0
009936618ce39f02235e97baf2c59b82	Unassigned	1.0
0099d84821191d93645d7fe6e2226100	Unassigned	1.0
009a9b4a50fa9a57e5530c45b1fdd999	Unassigned	1.0
009c7ce905418d429f0f6e98622a6ebe	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.0
009dd0843d67b3a788472bc2035a1ac8	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales	0.9
009ed32f4c025222db79ef5f3566115d	Unassigned	1.0
00a00b8049b24e16e63dff2c0a429858	d__Eukaryota; p__Annelida; c__Polychaeta; o__Capitellida; f__Capitellida; g__Capitellida	1.0
00a04d0a84f452f8f1afe8b0f234896b	Unassigned	1.0
00a064d63b58e08834aa894d8ed7c38a	d__Eukaryota; p__Cercozoa; c__Vampyrellidae; o__Vampyrellidae; f__Vampyrellidae; g__Vampyrellidae; s__uncultured_eukaryote	1.0
00a0a20dd5bad5f18ed5c4358b2bb6c9	d__Eukaryota; p__Cercozoa; c__Cercomonadidae; o__Cercomonadidae; f__Cercomonadidae; g__Cercomonas	0.7
00a3f18c299bc46a944cd85bf3b249a4	d__Eukaryota; p__Arthropoda; c__Ellipura; o__Collembola; f__Collembola; g__Collembola	1.0
00a426fee1334c92818d49572fa79070	Unassigned	1.0
00a51c70a9915bd4c2fc5db473384de2	Unassigned	1.0
00a55cc9da206e1f714f3bcd088ee395	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Armophorea; f__Armophorida	0.7
00a5901e62f9642948245672f7faa215	Unassigned	1.0
00a5cb78ce1bfd7e5ae553d132f9203f	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	1.0
00a67b964d0002009871246bbd8df0c4	Unassigned	1.0
00a6e00291337c94de5d03537c9e0dcb	d__Eukaryota; p__Annelida; c__Polychaeta; o__Capitellida; f__Capitellida; g__Capitellida	0.75
00a7644717d8deb54748cce46a6f94aa	d__Eukaryota; p__Protalveolata; c__Perkinsidae; o__A31; f__A31; g__A31; s__uncultured_alveolate	1.0
00a7cb0b5d3cc43e441501b179d55ea8	Unassigned	1.0
00a7e2816eabb87daf6abf2bf4090473	d__Eukaryota	1.0
00a7ffa6ef67bdf6991feca5935f640c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae	0.7
00a9bb9624f02e2bfb9e0695f891b62a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	1.0
